acc_id,cust_id,branch_id,acc_type,balance
1,107,11,Current,594166.09
2,249,3,Savings,113475.79
3,213,11,Current,449329.01
4,169,10,Current,437049.63
5,149,20,Current,149929.82
6,179,9,Current,934442.97
7,136,8,Current,904198.47
8,96,7,Savings,498071.03
9,455,5,Current,662994.0
10,62,10,Savings,194481.14
11,24,20,Savings,583842.43
12,410,6,Current,35959.15
13,402,15,Savings,179763.5
14,259,19,Current,660471.69
15,271,1,Savings,328269.01
16,369,9,Current,110129.35
17,497,7,Savings,574766.07
18,415,15,Current,685670.02
19,240,8,Current,457221.82
20,192,15,Current,368687.84
21,487,11,Current,907030.85
22,109,1,Savings,509209.15
23,235,6,Current,306338.27
24,139,3,Savings,694588.16
25,62,13,Savings,61681.61
26,320,6,Current,658194.85
27,77,20,Savings,636808.12
28,117,10,Savings,38454.07
29,423,15,Savings,126551.59
30,2,7,Current,756400.65
31,294,17,Savings,956998.82
32,108,20,Current,219634.02
33,178,4,Savings,506180.62
34,127,11,Savings,503170.08
35,104,14,Current,821944.6
36,174,12,Savings,438475.95
37,242,12,Savings,382915.63
38,108,3,Savings,925698.71
39,138,17,Savings,900728.84
40,480,16,Savings,157489.42
41,477,8,Savings,377482.98
42,235,3,Current,522476.37
43,97,4,Savings,60643.78
44,281,14,Current,311460.36
45,92,13,Current,968373.47
46,171,13,Savings,665858.66
47,15,7,Savings,645445.95
48,116,3,Savings,480531.08
49,451,10,Savings,411877.12
50,257,14,Savings,345485.34
51,20,14,Current,816628.51
52,494,6,Current,252065.77
53,451,3,Savings,53357.1
54,383,20,Current,624633.7
55,96,16,Savings,605490.16
56,189,1,Savings,802433.15
57,331,14,Savings,933375.73
58,346,10,Savings,594782.42
59,71,8,Current,219204.81
60,98,18,Current,688448.44
61,366,17,Current,62500.32
62,304,15,Savings,969777.65
63,195,7,Savings,183645.3
64,396,4,Current,34719.38
65,369,5,Savings,166102.83
66,368,9,Current,410245.21
67,179,3,Savings,875738.01
68,205,7,Savings,488839.84
69,138,4,Savings,726279.84
70,265,4,Current,844404.86
71,73,8,Current,861763.35
72,373,1,Current,883548.49
73,207,9,Current,201542.34
74,221,7,Savings,100860.46
75,165,9,Savings,819961.4
76,156,5,Savings,434729.63
