branch_id,branch_name,city
1,SBI Dharmapuri,Tiruppur
2,SBI Dindigul,Erode
3,SBI Pollachi,Tiruppur
4,SBI Coimbatore,Madurai
5,SBI Coimbatore,Dindigul
6,SBI Nagercoil,Cuddalore
7,SBI Trichy,Namakkal
8,SBI Namakkal,Erode
9,SBI Tirunelveli,Tirunelveli
10,SBI Thanjavur,Namakkal
11,SBI Hosur,Dharmapuri
12,SBI Vellore,Pollachi
13,SBI Vellore,Madurai
14,SBI Kanchipuram,Sivakasi
15,SBI Pollachi,Namakkal
16,SBI Cuddalore,Kanchipuram
17,SBI Cuddalore,Tiruppur
18,SBI Karur,Erode
19,SBI Dharmapuri,Hosur
20,SBI Thanjavur,Madurai
