card_id,acc_id,card_type,status
1,19,Debit,Expired
2,750,Debit,Active
3,194,Credit,Active
4,627,Debit,Active
5,354,Credit,Blocked
6,91,Credit,Blocked
7,465,Credit,Expired
8,376,Credit,Blocked
9,563,Debit,Blocked
10,352,Debit,Expired
11,376,Credit,Expired
12,87,Credit,Expired
13,798,Credit,Active
14,475,Debit,Blocked
15,676,Credit,Blocked
16,245,Debit,Active
17,501,Credit,Blocked
18,527,Credit,Active
19,395,Debit,Active
20,440,Debit,Active
21,255,Debit,Blocked
22,784,Credit,Expired
23,335,Credit,Expired
24,681,Credit,Active
25,572,Debit,Blocked
26,242,Debit,Blocked
27,89,Debit,Blocked
28,507,Credit,Blocked
29,47,Debit,Blocked
30,377,Credit,Blocked
31,418,Credit,Active
32,474,Debit,Active
33,245,Debit,Active
34,489,Credit,Active
35,656,Debit,Active
36,777,Credit,Active
37,84,Debit,Active
38,102,Credit,Active
39,551,Debit,Blocked
40,97,Debit,Active
41,533,Debit,Active
42,786,Credit,Active
43,707,Debit,Active
44,426,Credit,Active
45,761,Debit,Active
46,34,Credit,Blocked
47,517,Credit,Blocked
48,330,Debit,Active
49,668,Debit,Active
50,95,Credit,Blocked
51,592,Debit,Active
52,664,Credit,Active
53,742,Debit,Expired
54,505,Debit,Blocked
55,134,Credit,Active
56,566,Debit,Active
57,763,Credit,Active
58,382,Debit,Active
59,353,Credit,Active
60,599,Credit,Blocked
61,796,Credit,Blocked
62,404,Credit,Blocked
63,541,Credit,Blocked
64,672,Debit,Expired
65,503,Debit,Expired
66,309,Credit,Blocked
67,325,Debit,Blocked
68,468,Debit,Active
69,512,Debit,Blocked
70,636,Credit,Active
71,534,Credit,Blocked
72,676,Credit,Blocked
73,483,Debit,Blocked
74,35,Debit,Active
75,537,Credit,Active
76,367,Debit,Active
77,359,Debit,Active
78,576,Debit,Expired
79,571,Credit,Expired
80,752,Credit,Expired
81,754,Credit,Expired
82,386,Debit,Blocked
83,365,Debit,Expired
84,187,Debit,Active
85,194,Debit,Active
86,384,Debit,Active
87,359,Debit,Active
88,768,Debit,Active
89,460,Credit,Active
90,224,Credit,Active
91,143,Credit,Active
92,341,Debit,Expired
93,432,Credit,Expired
94,633,Debit,Expired
95,71,Debit,Blocked
96,148,Credit,Active
97,163,Credit,Expired
98,239,Credit,Expired
99,194,Credit,Expired
100,243,Debit,Active
101,301,Debit,Blocked
102,362,Debit,Active
103,219,Credit,Expired
104,773,Debit,Expired
105,250,Credit,Blocked
106,114,Debit,Expired
107,366,Debit,Blocked
108,77,Credit,Expired
109,432,Debit,Active
110,550,Credit,Active
111,576,Credit,Blocked
112,713,Credit,Expired
113,71,Debit,Expired
114,193,Credit,Expired
115,705,Debit,Blocked
116,256,Credit,Active
117,460,Debit,Expired
118,368,Debit,Blocked
119,53,Debit,Expired
120,457,Credit,Blocked
121,500,Debit,Blocked
122,38,Credit,Blocked
123,20,Debit,Active
124,698,Credit,Blocked
125,693,Credit,Blocked
126,723,Credit,Expired
127,582,Credit,Expired
128,442,Debit,Blocked
129,14,Debit,Active
130,726,Debit,Expired
131,152,Credit,Active
132,753,Credit,Expired
133,60,Credit,Blocked
134,336,Credit,Active
135,434,Debit,Blocked
136,343,Credit,Active
137,660,Debit,Blocked
138,342,Credit,Blocked
139,783,Debit,Expired
140,424,Debit,Active
141,640,Credit,Active
142,472,Credit,Active
143,13,Debit,Active
144,516,Debit,Blocked
145,740,Debit,Active
146,250,Debit,Expired
147,740,Debit,Active
148,131,Credit,Blocked
149,77,Debit,Active
150,520,Credit,Expired
151,407,Debit,Expired
152,305,Credit,Blocked
153,109,Debit,Active
154,212,Debit,Active
155,504,Credit,Blocked
156,99,Credit,Blocked
157,242,Debit,Expired
158,638,Credit,Expired
159,174,Credit,Blocked
160,556,Credit,Active
161,597,Debit,Active
162,267,Credit,Blocked
163,531,Credit,Expired
164,449,Debit,Active
165,54,Debit,Active
166,704,Debit,Active
167,506,Credit,Active
168,63,Debit,Active
169,452,Debit,Expired
170,329,Debit,Active
171,761,Credit,Blocked
172,774,Credit,Expired
173,567,Debit,Blocked
174,13,Debit,Expired
175,572,Debit,Blocked
176,1,Credit,Blocked
177,487,Credit,Blocked
178,27,Credit,Expired
179,128,Credit,Active
180,109,Credit,Blocked
181,131,Credit,Expired
182,716,Debit,Blocked
183,4,Credit,Expired
184,521,Debit,Blocked
185,663,Debit,Active
186,557,Debit,Blocked
187,37,Debit,Expired
188,485,Debit,Active
189,725,Credit,Expired
190,12,Debit,Blocked
191,478,Debit,Expired
192,722,Debit,Expired
193,477,Debit,Blocked
194,509,Credit,Active
195,528,Debit,Active
196,763,Debit,Expired
197,46,Credit,Active
198,374,Debit,Expired
199,765,Debit,Expired
200,656,Debit,Active
201,32,Credit,Expired
202,577,Credit,Active
203,187,Debit,Active
204,557,Credit,Active
205,723,Debit,Expired
206,580,Debit,Expired
207,518,Debit,Expired
208,98,Credit,Active
209,740,Credit,Active
210,771,Credit,Expired
211,418,Debit,Expired
212,740,Credit,Active
213,574,Credit,Expired
214,38,Debit,Expired
215,46,Debit,Expired
216,520,Credit,Active
217,404,Debit,Active
218,351,Debit,Expired
219,67,Debit,Active
220,255,Debit,Expired
221,267,Debit,Active
222,754,Debit,Expired
223,63,Debit,Blocked
224,610,Credit,Blocked
225,182,Credit,Active
226,540,Debit,Expired
227,660,Debit,Expired
228,778,Debit,Active
229,716,Credit,Blocked
230,218,Credit,Blocked
231,306,Credit,Blocked
232,587,Debit,Expired
233,585,Credit,Active
234,754,Debit,Blocked
235,295,Credit,Blocked
236,276,Debit,Blocked
237,421,Debit,Active
238,543,Credit,Active
239,544,Debit,Blocked
240,635,Credit,Active
241,667,Debit,Blocked
242,699,Debit,Active
243,614,Credit,Expired
244,727,Debit,Expired
245,765,Debit,Active
246,15,Debit,Blocked
247,232,Credit,Expired
248,491,Credit,Expired
249,23,Credit,Blocked
250,418,Credit,Active
251,196,Credit,Active
252,572,Debit,Expired
253,222,Credit,Active
254,587,Credit,Active
255,640,Debit,Expired
256,97,Debit,Blocked
257,768,Debit,Active
258,759,Debit,Active
259,64,Debit,Active
260,168,Debit,Expired
261,97,Credit,Blocked
262,113,Credit,Active
263,707,Debit,Expired
264,682,Debit,Active
265,520,Credit,Blocked
266,408,Debit,Active
267,295,Credit,Active
268,749,Credit,Blocked
269,146,Credit,Blocked
270,760,Debit,Active
271,559,Credit,Active
272,61,Credit,Blocked
273,658,Debit,Active
274,689,Credit,Active
275,70,Credit,Active
276,621,Credit,Expired
277,662,Credit,Expired
278,230,Credit,Active
279,60,Debit,Blocked
280,714,Credit,Blocked
281,505,Debit,Expired
282,640,Credit,Active
283,48,Debit,Expired
284,63,Debit,Active
285,754,Credit,Blocked
286,666,Debit,Expired
287,311,Debit,Active
288,561,Credit,Active
289,194,Debit,Active
290,266,Debit,Active
291,363,Debit,Blocked
292,677,Credit,Active
293,136,Debit,Active
294,503,Credit,Expired
295,627,Debit,Active
296,176,Debit,Active
297,559,Debit,Expired
298,192,Credit,Expired
299,767,Credit,Blocked
300,225,Credit,Active
301,405,Credit,Active
302,491,Debit,Blocked
303,552,Credit,Expired
304,373,Credit,Expired
305,305,Credit,Expired
306,290,Debit,Blocked
307,333,Credit,Blocked
308,585,Credit,Active
309,314,Credit,Blocked
310,71,Debit,Blocked
311,620,Credit,Expired
312,191,Credit,Blocked
313,538,Credit,Active
314,216,Debit,Active
315,52,Debit,Blocked
316,667,Debit,Blocked
317,684,Credit,Active
318,204,Debit,Blocked
319,384,Debit,Expired
320,674,Debit,Active
321,444,Debit,Blocked
322,13,Debit,Blocked
323,567,Credit,Blocked
324,590,Credit,Blocked
325,565,Credit,Active
326,605,Debit,Expired
327,46,Credit,Blocked
328,98,Debit,Active
329,353,Debit,Expired
330,696,Credit,Expired
331,46,Credit,Active
332,378,Debit,Expired
333,553,Credit,Blocked
334,599,Debit,Blocked
335,270,Debit,Blocked
336,428,Debit,Blocked
337,428,Debit,Active
338,372,Credit,Blocked
339,612,Debit,Active
340,166,Debit,Expired
341,87,Debit,Active
342,598,Credit,Expired
343,254,Credit,Blocked
344,447,Debit,Active
345,143,Debit,Blocked
346,633,Credit,Blocked
347,310,Credit,Blocked
348,38,Credit,Blocked
349,641,Debit,Active
350,37,Credit,Active
351,507,Credit,Blocked
352,338,Debit,Blocked
353,499,Debit,Expired
354,465,Debit,Expired
355,25,Credit,Active
356,330,Debit,Expired
357,415,Credit,Blocked
358,582,Debit,Expired
359,243,Credit,Active
360,60,Credit,Active
361,778,Debit,Blocked
362,738,Debit,Active
363,99,Debit,Blocked
364,449,Credit,Blocked
365,487,Credit,Blocked
366,391,Credit,Blocked
367,704,Credit,Blocked
368,460,Credit,Blocked
369,550,Debit,Active
370,388,Credit,Blocked
371,492,Credit,Blocked
372,497,Credit,Expired
373,713,Credit,Blocked
374,203,Credit,Active
375,639,Debit,Blocked
376,34,Credit,Active
377,12,Credit,Active
378,82,Credit,Expired
379,443,Debit,Active
380,239,Credit,Expired
381,319,Debit,Blocked
382,512,Credit,Blocked
383,545,Debit,Expired
384,703,Credit,Active
385,520,Credit,Expired
386,509,Credit,Expired
387,477,Debit,Active
388,89,Debit,Active
389,783,Credit,Expired
390,253,Debit,Expired
391,558,Credit,Expired
392,368,Credit,Active
393,527,Debit,Expired
394,578,Credit,Blocked
395,394,Credit,Active
396,221,Credit,Blocked
397,703,Debit,Expired
398,249,Debit,Blocked
399,181,Credit,Active
400,498,Debit,Active
401,490,Debit,Expired
402,569,Credit,Blocked
403,696,Debit,Blocked
404,18,Debit,Blocked
405,362,Credit,Expired
406,126,Debit,Expired
407,448,Credit,Expired
408,407,Credit,Expired
409,667,Debit,Active
410,625,Credit,Expired
411,393,Debit,Active
412,541,Debit,Active
413,69,Debit,Expired
414,730,Credit,Expired
415,85,Credit,Expired
416,113,Credit,Expired
417,548,Credit,Blocked
418,217,Credit,Expired
419,521,Debit,Blocked
420,276,Credit,Active
421,637,Debit,Blocked
422,339,Debit,Active
423,35,Debit,Active
424,360,Debit,Active
425,229,Debit,Active
426,248,Credit,Expired
427,726,Debit,Active
428,708,Debit,Blocked
429,222,Credit,Active
430,724,Debit,Blocked
431,437,Credit,Active
432,217,Debit,Blocked
433,360,Credit,Active
434,671,Debit,Expired
435,721,Credit,Active
436,261,Debit,Active
437,280,Debit,Expired
438,418,Credit,Expired
439,215,Credit,Active
440,443,Credit,Active
441,667,Debit,Active
442,433,Debit,Active
443,469,Debit,Active
444,766,Credit,Active
445,11,Credit,Blocked
446,101,Debit,Blocked
447,275,Credit,Active
448,154,Debit,Blocked
449,648,Debit,Active
450,379,Credit,Expired
451,375,Debit,Active
452,52,Debit,Expired
453,63,Credit,Active
454,34,Credit,Blocked
455,696,Debit,Expired
456,18,Debit,Expired
457,482,Debit,Active
458,188,Credit,Expired
459,714,Debit,Blocked
460,16,Debit,Active
461,94,Credit,Blocked
462,516,Credit,Blocked
463,41,Debit,Blocked
464,722,Credit,Blocked
465,658,Credit,Expired
466,800,Debit,Active
467,563,Debit,Blocked
468,791,Debit,Expired
469,54,Credit,Blocked
470,430,Credit,Active
471,290,Debit,Blocked
472,665,Debit,Active
473,324,Credit,Blocked
474,224,Credit,Blocked
475,151,Credit,Blocked
476,473,Credit,Active
477,286,Debit,Blocked
478,300,Credit,Expired
479,665,Credit,Expired
480,621,Credit,Active
481,244,Debit,Expired
482,138,Credit,Active
483,330,Debit,Expired
484,122,Credit,Active
485,697,Credit,Blocked
486,680,Debit,Active
487,502,Debit,Active
488,649,Debit,Active
489,480,Debit,Blocked
490,32,Credit,Blocked
491,381,Credit,Expired
492,384,Debit,Active
493,487,Debit,Expired
494,541,Credit,Blocked
495,299,Credit,Expired
496,779,Credit,Blocked
497,722,Debit,Blocked
498,207,Debit,Expired
499,686,Debit,Blocked
500,382,Debit,Expired
501,178,Credit,Expired
502,353,Debit,Blocked
503,784,Debit,Blocked
504,173,Credit,Expired
505,680,Credit,Expired
506,337,Credit,Active
507,251,Debit,Active
508,623,Debit,Expired
509,157,Debit,Expired
510,112,Credit,Expired
511,353,Debit,Blocked
512,600,Debit,Blocked
513,603,Debit,Blocked
514,469,Debit,Active
515,20,Credit,Expired
516,29,Debit,Expired
517,301,Debit,Active
518,561,Credit,Blocked
519,599,Credit,Active
520,551,Debit,Blocked
521,677,Debit,Blocked
522,655,Credit,Blocked
523,473,Debit,Blocked
524,56,Debit,Blocked
525,434,Debit,Active
526,645,Debit,Active
527,412,Credit,Blocked
528,598,Debit,Expired
529,17,Debit,Active
530,732,Credit,Expired
531,412,Credit,Expired
532,631,Credit,Active
533,184,Credit,Blocked
534,356,Debit,Expired
535,467,Credit,Active
536,613,Debit,Blocked
537,140,Credit,Expired
538,161,Debit,Expired
539,734,Debit,Active
540,629,Debit,Expired
541,646,Credit,Expired
542,352,Debit,Expired
543,778,Credit,Blocked
544,94,Credit,Blocked
545,388,Credit,Blocked
546,74,Debit,Blocked
547,359,Debit,Blocked
548,582,Debit,Blocked
549,168,Debit,Expired
550,537,Debit,Blocked
551,522,Debit,Blocked
552,374,Debit,Blocked
553,130,Debit,Active
554,517,Debit,Active
555,417,Debit,Expired
556,76,Credit,Blocked
557,449,Credit,Blocked
558,361,Debit,Blocked
559,438,Credit,Expired
560,767,Credit,Blocked
561,381,Credit,Active
562,528,Debit,Expired
563,388,Credit,Active
564,502,Credit,Expired
565,787,Debit,Active
566,551,Debit,Active
567,401,Credit,Expired
568,126,Credit,Blocked
569,765,Debit,Blocked
570,243,Credit,Active
571,131,Debit,Blocked
572,775,Debit,Blocked
573,117,Debit,Expired
574,116,Credit,Expired
575,634,Debit,Expired
576,601,Credit,Blocked
577,327,Credit,Active
578,624,Debit,Blocked
579,409,Credit,Expired
580,469,Credit,Blocked
581,98,Credit,Expired
582,525,Debit,Expired
583,587,Credit,Expired
584,238,Credit,Blocked
585,767,Debit,Blocked
586,124,Credit,Expired
587,757,Credit,Expired
588,3,Credit,Expired
589,67,Debit,Blocked
590,485,Debit,Active
591,265,Credit,Expired
592,139,Debit,Expired
593,21,Debit,Blocked
594,143,Debit,Expired
595,493,Credit,Expired
596,297,Debit,Expired
597,346,Debit,Expired
598,509,Credit,Blocked
599,480,Debit,Expired
600,63,Credit,Expired
601,257,Credit,Expired
602,185,Credit,Active
603,546,Debit,Active
604,588,Debit,Expired
605,401,Credit,Blocked
606,543,Credit,Blocked
607,580,Debit,Expired
608,647,Credit,Blocked
609,502,Debit,Expired
610,414,Debit,Blocked
611,443,Credit,Active
612,476,Credit,Active
613,658,Credit,Expired
614,515,Credit,Expired
615,455,Debit,Blocked
616,188,Debit,Blocked
617,439,Credit,Blocked
618,376,Debit,Active
619,669,Credit,Blocked
620,156,Debit,Expired
621,429,Debit,Expired
622,464,Debit,Blocked
623,659,Credit,Expired
624,516,Debit,Expired
625,484,Debit,Expired
626,690,Credit,Active
627,83,Debit,Expired
628,417,Debit,Blocked
629,493,Credit,Blocked
630,13,Credit,Blocked
631,475,Credit,Blocked
632,798,Debit,Active
633,788,Debit,Blocked
634,5,Debit,Blocked
635,328,Credit,Blocked
636,11,Debit,Blocked
637,484,Debit,Blocked
638,348,Credit,Expired
639,282,Credit,Expired
640,592,Credit,Expired
641,683,Debit,Active
642,421,Debit,Blocked
643,376,Credit,Blocked
644,49,Debit,Expired
645,32,Debit,Active
646,83,Debit,Expired
647,176,Debit,Expired
648,206,Debit,Active
649,534,Credit,Active
650,89,Debit,Blocked
651,49,Credit,Expired
652,551,Debit,Blocked
653,548,Credit,Active
654,388,Credit,Blocked
655,327,Debit,Blocked
656,125,Credit,Blocked
657,735,Credit,Blocked
658,197,Debit,Active
659,169,Credit,Active
660,554,Credit,Active
661,791,Credit,Expired
662,322,Credit,Expired
663,343,Credit,Active
664,303,Credit,Expired
665,35,Credit,Blocked
666,687,Credit,Active
667,130,Credit,Blocked
668,362,Debit,Expired
669,536,Debit,Blocked
