device_id,cust_id,device_name
1,201,Desktop
2,239,Laptop
3,278,Mobile
4,133,Desktop
5,311,Desktop
6,281,Mobile
7,448,Mobile
8,351,Tablet
9,304,Tablet
10,47,Tablet
11,470,Tablet
12,298,Desktop
13,56,Tablet
14,407,Desktop
15,442,Tablet
16,287,Mobile
17,369,Desktop
18,14,Desktop
19,114,Desktop
20,260,Laptop
21,292,Tablet
22,226,Laptop
23,352,Laptop
24,297,Desktop
25,64,Mobile
26,407,Desktop
27,102,Laptop
28,413,Mobile
29,250,Mobile
30,55,Desktop
31,12,Laptop
32,181,Laptop
33,108,Mobile
34,412,Mobile
35,485,Tablet
36,153,Laptop
37,153,Tablet
38,199,Desktop
39,96,Mobile
40,282,Desktop
41,252,Laptop
42,404,Desktop
43,492,Tablet
44,120,Desktop
45,73,Mobile
46,313,Laptop
47,409,Tablet
48,280,Mobile
49,40,Tablet
50,494,Desktop
51,112,Desktop
52,273,Mobile
53,144,Tablet
54,48,Mobile
55,436,Desktop
56,399,Tablet
57,333,Mobile
58,14,Mobile
59,379,Mobile
60,226,Desktop
61,484,Mobile
62,389,Mobile
63,6,Mobile
64,225,Laptop
65,90,Laptop
66,340,Desktop
67,485,Laptop
68,315,Laptop
69,457,Laptop
70,127,Tablet
71,454,Desktop
72,130,Tablet
73,99,Tablet
74,353,Laptop
75,359,Laptop
76,384,Laptop
77,422,Laptop
78,289,Laptop
79,429,Mobile
80,248,Tablet
81,24,Laptop
82,394,Tablet
83,488,Tablet
84,65,Desktop
85,7,Tablet
86,428,Desktop
87,165,Desktop
88,68,Mobile
89,327,Laptop
90,70,Tablet
91,219,Laptop
92,292,Tablet
93,217,Tablet
94,318,Mobile
95,312,Mobile
96,94,Laptop
97,230,Tablet
98,74,Desktop
99,381,Mobile
100,50,Tablet
101,339,Tablet
102,112,Mobile
103,487,Mobile
104,359,Mobile
105,138,Desktop
106,279,Laptop
107,455,Tablet
108,459,Laptop
109,413,Tablet
110,111,Desktop
111,367,Tablet
112,327,Tablet
113,368,Tablet
114,66,Desktop
115,331,Tablet
116,268,Laptop
117,310,Laptop
118,24,Laptop
119,321,Desktop
120,171,Laptop
121,115,Mobile
122,490,Desktop
123,445,Mobile
124,227,Mobile
125,255,Mobile
126,488,Tablet
127,170,Tablet
128,430,Mobile
129,315,Tablet
130,381,Mobile
131,7,Tablet
132,55,Desktop
133,263,Desktop
134,479,Desktop
135,359,Laptop
136,168,Tablet
137,67,Laptop
138,88,Desktop
139,29,Mobile
140,199,Mobile
141,221,Mobile
142,326,Tablet
143,38,Mobile
144,11,Mobile
145,422,Desktop
146,374,Laptop
147,201,Tablet
148,84,Tablet
149,46,Desktop
150,318,Tablet
151,45,Laptop
152,295,Laptop
153,225,Desktop
154,157,Laptop
155,342,Laptop
156,443,Tablet
157,60,Laptop
158,42,Desktop
159,397,Mobile
160,139,Desktop
161,5,Tablet
162,278,Laptop
163,498,Laptop
164,89,Tablet
165,48,Mobile
166,427,Laptop
167,83,Laptop
168,121,Laptop
169,133,Desktop
170,121,Tablet
171,475,Laptop
172,273,Mobile
173,182,Desktop
174,314,Desktop
175,177,Tablet
176,381,Desktop
177,426,Desktop
178,127,Laptop
179,280,Mobile
180,154,Mobile
181,263,Laptop
182,483,Laptop
183,434,Desktop
184,320,Desktop
185,137,Desktop
186,265,Mobile
187,92,Tablet
188,287,Mobile
189,184,Mobile
190,367,Desktop
191,302,Tablet
192,40,Tablet
193,178,Laptop
194,360,Tablet
195,33,Mobile
196,428,Mobile
197,152,Laptop
198,253,Desktop
199,326,Mobile
200,336,Desktop
201,206,Laptop
202,152,Mobile
203,295,Desktop
204,26,Desktop
205,428,Mobile
206,159,Laptop
207,413,Laptop
208,285,Desktop
209,231,Mobile
210,51,Desktop
211,80,Laptop
212,213,Laptop
213,358,Laptop
214,288,Desktop
215,449,Tablet
216,479,Mobile
217,87,Tablet
218,112,Laptop
219,373,Tablet
220,404,Laptop
221,155,Desktop
222,52,Mobile
223,31,Laptop
224,8,Tablet
225,10,Laptop
226,274,Laptop
227,246,Mobile
228,245,Mobile
229,120,Tablet
230,79,Mobile
231,494,Laptop
232,500,Tablet
233,155,Tablet
234,352,Tablet
235,118,Mobile
236,418,Tablet
237,368,Mobile
238,213,Desktop
239,302,Tablet
240,50,Tablet
241,36,Desktop
242,469,Tablet
243,316,Laptop
244,157,Laptop
245,447,Tablet
246,80,Desktop
247,440,Laptop
248,264,Laptop
249,460,Tablet
250,90,Desktop
251,406,Desktop
252,272,Tablet
253,209,Desktop
254,445,Laptop
255,326,Desktop
256,405,Desktop
257,254,Desktop
258,393,Tablet
259,140,Mobile
260,411,Mobile
261,182,Desktop
262,277,Mobile
263,58,Desktop
264,276,Laptop
265,108,Mobile
266,417,Mobile
267,239,Tablet
268,221,Laptop
