fraud_id,txn_id,fraud_type,status
1,443,Identity Theft,Open
2,182,Phishing,Resolved
3,962,Card Fraud,Resolved
4,127,UPI Fraud,Open
5,784,Card Fraud,Open
6,253,UPI Fraud,Open
7,30,Card Fraud,Open
8,320,UPI Fraud,Open
9,909,Phishing,Open
10,462,Suspicious Transfer,Under Investigation
11,701,Phishing,Open
12,180,Card Fraud,Under Investigation
13,700,Suspicious Transfer,Resolved
14,981,UPI Fraud,Under Investigation
15,438,Phishing,Under Investigation
16,176,Suspicious Transfer,Open
17,769,Card Fraud,Under Investigation
18,771,Identity Theft,Open
19,977,UPI Fraud,Resolved
20,432,Phishing,Resolved
21,530,Phishing,Resolved
22,543,Card Fraud,Resolved
23,295,Card Fraud,Open
24,455,UPI Fraud,Resolved
25,786,UPI Fraud,Under Investigation
26,574,Card Fraud,Resolved
27,406,Suspicious Transfer,Under Investigation
28,272,Identity Theft,Open
29,893,Card Fraud,Resolved
30,447,Card Fraud,Resolved
31,254,Phishing,Under Investigation
32,690,Identity Theft,Open
33,276,UPI Fraud,Resolved
34,669,UPI Fraud,Under Investigation
35,439,Phishing,Under Investigation
36,612,Identity Theft,Resolved
37,809,UPI Fraud,Resolved
38,585,Identity Theft,Resolved
39,483,Phishing,Under Investigation
40,154,UPI Fraud,Resolved
41,483,Phishing,Resolved
42,512,Phishing,Under Investigation
43,138,Identity Theft,Under Investigation
44,757,Phishing,Resolved
45,770,Identity Theft,Open
46,388,Phishing,Under Investigation
47,375,UPI Fraud,Open
48,142,Card Fraud,Under Investigation
49,877,Phishing,Open
50,170,UPI Fraud,Open
51,682,Card Fraud,Under Investigation
52,741,UPI Fraud,Under Investigation
53,964,Identity Theft,Open
54,533,UPI Fraud,Under Investigation
55,997,UPI Fraud,Resolved
56,976,Identity Theft,Under Investigation
57,592,Suspicious Transfer,Open
58,128,Phishing,Under Investigation
59,826,Phishing,Open
60,247,UPI Fraud,Under Investigation
61,668,Phishing,Under Investigation
62,557,Card Fraud,Open
63,373,Identity Theft,Under Investigation
64,919,Phishing,Resolved
65,234,Card Fraud,Open
66,366,Phishing,Open
67,606,Identity Theft,Under Investigation
68,310,UPI Fraud,Under Investigation
69,680,Card Fraud,Resolved
70,430,UPI Fraud,Resolved
71,826,Identity Theft,Under Investigation
72,219,Suspicious Transfer,Open
73,648,Identity Theft,Resolved
74,15,Phishing,Open
75,16,UPI Fraud,Resolved
76,300,Phishing,Open
77,923,Suspicious Transfer,Open
78,22,Card Fraud,Under Investigation
79,266,Phishing,Under Investigation
80,180,UPI Fraud,Open
81,42,Suspicious Transfer,Resolved
82,47,Card Fraud,Open
