invest_id,fraud_id,emp_type,remarks
1,176,80,False Alert
2,251,69,Customer Contacted
3,70,89,Resolved
4,298,51,Verified
5,71,35,Pending
6,109,68,Pending
7,169,61,Verified
8,298,66,Customer Contacted
9,73,21,False Alert
10,274,8,Resolved
11,89,84,False Alert
12,41,61,Verified
13,28,27,Pending
14,251,19,Resolved
15,198,53,False Alert
16,284,50,Resolved
17,210,1,False Alert
18,222,47,Resolved
19,60,74,Verified
20,170,28,Customer Contacted
21,149,38,Customer Contacted
22,283,98,False Alert
23,1,22,Pending
24,236,30,False Alert
25,288,24,Customer Contacted
26,199,21,False Alert
27,110,61,Verified
28,297,37,Customer Contacted
29,46,45,Verified
30,87,63,Resolved
31,33,51,Verified
32,254,93,Pending
33,180,95,Customer Contacted
34,154,88,False Alert
35,290,5,Verified
36,56,56,Verified
37,122,18,Pending
38,7,35,Verified
39,187,41,Customer Contacted
40,111,87,Pending
41,136,14,Verified
42,168,66,False Alert
43,13,62,Pending
44,146,82,Resolved
45,154,61,False Alert
46,69,49,Verified
47,135,97,Pending
48,175,18,Verified
49,58,24,False Alert
50,13,28,Customer Contacted
51,217,1,Verified
52,88,48,Resolved
53,3,36,Resolved
54,150,54,False Alert
55,94,6,Customer Contacted
56,87,62,Pending
57,92,92,Verified
58,18,98,Verified
59,114,49,Resolved
60,152,69,False Alert
61,240,5,Verified
62,249,46,Pending
63,76,9,False Alert
64,126,71,Customer Contacted
65,164,74,Resolved
66,221,86,Verified
67,192,72,Pending
68,26,73,Pending
69,192,63,Verified
70,185,67,Resolved
71,216,78,Pending
72,267,87,Resolved
73,212,57,False Alert
74,98,32,False Alert
75,253,76,Verified
76,187,62,Resolved
77,287,17,False Alert
78,67,25,False Alert
79,202,35,False Alert
80,237,86,Customer Contacted
81,28,64,Verified
82,153,98,Resolved
83,12,94,Resolved
84,93,60,False Alert
85,173,46,False Alert
86,78,81,Resolved
87,117,16,Customer Contacted
88,16,68,Pending
89,298,84,Verified
90,174,60,False Alert
91,114,68,Resolved
92,58,53,Pending
93,129,74,Resolved
94,24,25,Verified
95,131,80,Pending
96,210,99,Verified
97,202,15,Pending
98,152,77,Resolved
99,129,25,False Alert
100,274,46,Resolved
101,255,18,Verified
102,85,87,Verified
103,200,22,Pending
104,176,74,Resolved
105,196,54,Resolved
106,136,3,Verified
107,90,67,False Alert
108,15,76,Customer Contacted
109,19,39,Pending
110,129,47,False Alert
111,181,93,Customer Contacted
112,78,83,Pending
113,9,53,Pending
114,2,84,Customer Contacted
115,266,41,Verified
116,81,52,Pending
117,260,54,Pending
118,223,75,Pending
119,212,83,Customer Contacted
120,237,16,Customer Contacted
121,273,5,Customer Contacted
122,136,99,Resolved
123,226,94,Customer Contacted
124,90,43,Pending
125,108,68,Verified
126,216,56,Resolved
127,92,71,Resolved
128,92,43,Resolved
129,199,28,False Alert
130,192,57,Verified
131,130,45,Pending
132,154,94,Resolved
133,245,52,Verified
134,54,95,Customer Contacted
135,155,63,Verified
136,107,24,Pending
137,284,62,Pending
138,249,54,False Alert
139,264,64,Resolved
140,93,3,False Alert
141,268,30,Customer Contacted
142,47,55,Customer Contacted
143,145,56,Resolved
144,44,90,Customer Contacted
145,243,85,Verified
146,239,75,Verified
147,135,99,False Alert
148,299,91,Pending
149,145,12,False Alert
150,141,58,Customer Contacted
151,203,17,Resolved
152,100,1,Pending
153,25,9,Pending
154,35,95,Verified
155,24,74,Resolved
156,210,8,Resolved
157,133,51,Resolved
158,295,91,Resolved
159,143,9,Verified
160,168,64,False Alert
161,28,14,Resolved
162,258,63,Pending
163,88,16,Verified
164,129,24,Verified
165,166,96,Customer Contacted
166,158,64,Pending
167,21,100,Customer Contacted
168,89,79,Customer Contacted
169,144,79,Pending
170,74,42,Customer Contacted
171,37,48,Customer Contacted
172,1,97,Pending
173,76,24,Verified
174,158,60,Pending
175,129,77,False Alert
176,227,84,False Alert
177,88,18,Customer Contacted
178,86,27,Resolved
179,108,47,False Alert
180,62,61,Resolved
181,218,87,Pending
182,226,5,Resolved
183,290,16,Customer Contacted
184,92,2,Pending
185,267,26,Resolved
186,123,89,Verified
187,176,15,Verified
188,172,14,Customer Contacted
189,144,96,Customer Contacted
190,83,19,Customer Contacted
191,130,43,Resolved
192,205,72,Pending
193,87,9,Pending
194,75,46,Resolved
195,50,98,Resolved
196,89,61,Customer Contacted
197,227,77,Pending
198,92,73,Resolved
199,70,25,Customer Contacted
200,230,82,Verified
