loan_id,cust_id,loan_amt,status
1,150,542069,Active
2,74,93414,Active
3,390,917052,Active
4,168,173355,Active
5,373,510882,Pending
6,50,341168,Active
7,283,545055,Active
8,286,426559,Pending
9,323,414000,Pending
10,213,951959,Active
11,168,989578,Closed
12,319,816894,Active
13,91,791829,Closed
14,220,666574,Pending
15,145,370790,Pending
16,257,888807,Active
17,169,694535,Active
18,314,134171,Active
19,400,327944,Closed
20,174,353185,Pending
21,127,650045,Pending
22,74,616723,Pending
23,483,14375,Active
24,70,53579,Active
25,174,402778,Pending
26,33,930799,Closed
27,227,222853,Pending
28,405,432470,Closed
29,361,132276,Active
30,250,906201,Active
31,254,782607,Pending
32,466,247866,Active
33,38,588670,Active
34,453,650326,Closed
35,355,471746,Pending
36,273,139161,Closed
37,85,360913,Active
38,496,593223,Active
39,135,776356,Pending
40,98,835413,Active
41,288,702211,Active
42,11,787009,Pending
43,403,795782,Closed
44,322,380513,Closed
45,211,665932,Active
46,392,568854,Active
47,140,814253,Active
48,440,712524,Closed
49,121,503190,Pending
50,122,345424,Pending
51,196,56565,Closed
52,119,118577,Pending
53,407,19596,Closed
54,26,319386,Active
55,40,627671,Active
56,97,427082,Closed
57,181,116903,Active
58,141,468829,Active
59,80,760713,Active
60,263,889485,Pending
61,376,127040,Closed
62,482,188480,Closed
63,193,849385,Closed
64,163,118394,Active
65,56,875989,Pending
66,423,491074,Pending
67,224,532963,Pending
68,37,837624,Pending
69,236,748492,Closed
70,233,542049,Active
71,289,408679,Pending
72,100,983475,Pending
73,429,670355,Closed
74,362,887553,Pending
75,8,182074,Closed
76,9,421578,Closed
77,460,640829,Active
78,434,242463,Pending
79,21,874375,Active
80,416,925899,Pending
81,342,402197,Pending
82,300,78643,Active
83,392,129741,Active
84,420,802423,Active
85,356,716303,Closed
86,451,783541,Active
87,70,640227,Pending
88,334,56107,Active
89,492,84604,Closed
90,239,119994,Pending
91,112,13232,Closed
92,137,408167,Active
93,122,25755,Closed
94,302,464776,Active
95,385,123643,Closed
96,43,712753,Pending
97,266,282465,Closed
98,246,358515,Active
99,419,195449,Pending
100,428,714416,Pending
101,121,848046,Closed
102,191,879455,Closed
103,168,718702,Active
104,85,81809,Active
105,228,551650,Closed
106,159,729163,Active
107,114,805087,Closed
108,496,674346,Pending
109,441,962737,Active
110,448,648642,Closed
111,349,320235,Active
112,262,189846,Pending
113,283,22307,Active
114,144,933923,Closed
115,300,40410,Closed
116,223,659661,Pending
117,470,772487,Closed
118,188,321099,Active
119,390,121446,Active
120,211,161522,Closed
121,198,112089,Pending
122,384,888395,Active
123,247,986649,Pending
124,357,799464,Active
125,274,259793,Closed
126,482,637983,Active
127,219,499284,Active
128,424,474664,Closed
129,70,880405,Pending
130,208,866386,Active
131,50,722710,Closed
132,192,267901,Active
133,236,942455,Active
134,56,845648,Pending
135,311,69802,Closed
136,25,75892,Pending
137,11,993105,Pending
138,494,400303,Closed
139,470,396231,Pending
140,64,625204,Closed
141,488,191199,Active
142,227,529230,Active
143,334,508926,Closed
144,490,596339,Active
145,233,382219,Closed
146,268,787481,Active
147,403,67759,Closed
148,43,345911,Closed
149,269,117775,Pending
150,432,70111,Closed
151,11,357200,Pending
152,11,149216,Closed
153,481,865215,Closed
154,297,198123,Active
155,425,535546,Pending
156,363,174801,Active
157,136,502533,Closed
158,344,35889,Pending
159,105,459855,Pending
160,242,720056,Pending
161,355,473629,Pending
162,236,833697,Pending
163,266,133561,Active
164,10,799682,Pending
165,295,779939,Active
166,112,470965,Closed
167,269,599148,Pending
168,134,818487,Pending
169,393,434499,Active
170,288,694540,Active
171,224,632008,Pending
172,435,425642,Closed
173,100,915111,Closed
174,424,275361,Pending
175,52,350820,Closed
176,267,287177,Closed
177,486,372300,Pending
178,241,320087,Pending
179,438,35856,Active
180,288,17852,Active
181,475,367616,Active
182,415,736963,Closed
183,107,49946,Pending
184,365,20201,Closed
185,318,287756,Active
186,359,276208,Pending
187,377,313238,Active
188,458,436419,Pending
189,358,396934,Closed
190,383,162464,Closed
191,90,642356,Active
192,56,866198,Closed
193,386,356317,Active
194,133,601671,Pending
195,62,18122,Active
196,426,180351,Pending
197,498,880338,Active
198,257,664543,Active
199,216,964493,Closed
200,132,733411,Pending
201,122,680443,Active
202,111,969575,Closed
203,226,784440,Pending
204,242,802844,Active
205,145,43891,Pending
206,438,664689,Active
207,161,805349,Pending
208,79,301298,Closed
209,59,371894,Closed
210,135,336080,Closed
211,34,828429,Pending
212,333,6571,Pending
213,433,791664,Active
214,46,486079,Closed
215,101,214616,Pending
216,22,812470,Pending
217,499,679472,Active
218,254,877306,Active
219,148,541313,Closed
220,376,326233,Active
221,316,177081,Active
222,328,979163,Pending
223,148,914201,Closed
224,70,664615,Pending
225,471,710734,Closed
226,223,360987,Active
