txn_id,acc_id,txn_type_id,amount,txn_date
1,57,6,18800.78,2026-07-08 03:38:17
2,277,6,41425.52,2026-03-20 20:13:45
3,725,4,34055.49,2026-03-23 05:25:50
4,356,3,45325.03,2025-09-24 04:48:09
5,121,4,48289.54,2025-09-29 20:44:05
6,610,1,31478.06,2026-06-05 10:02:13
7,750,6,5215.44,2025-10-01 11:02:37
8,704,4,11947.32,2025-07-31 10:45:54
9,626,4,42641.05,2025-10-16 21:35:32
10,637,1,43147.83,2025-09-15 21:56:35
11,418,3,20238.58,2026-01-19 18:05:02
12,397,6,14154.81,2026-05-04 12:56:54
13,479,2,7997.11,2025-11-24 09:50:48
14,671,6,5815.93,2025-10-10 04:10:20
15,549,4,12529.7,2025-10-01 17:45:36
16,645,6,8614.2,2026-05-12 12:24:31
17,184,4,33400.08,2026-06-13 00:47:54
18,204,2,33720.22,2026-05-08 14:55:55
19,533,4,3670.91,2026-07-06 20:09:04
20,526,3,18199.7,2025-11-12 12:59:32
21,127,3,37123.91,2025-09-12 02:19:20
22,78,4,35108.03,2025-10-09 10:30:35
23,551,3,45518.38,2026-04-21 03:22:02
24,135,3,24727.11,2025-08-28 02:46:28
25,791,4,44498.24,2026-02-22 16:57:19
26,124,6,32099.41,2026-06-15 07:10:34
27,135,1,5701.68,2025-08-28 05:12:25
28,416,3,39902.16,2026-03-25 11:24:28
29,498,2,20932.81,2026-07-08 14:11:40
30,98,3,17150.76,2026-04-02 10:06:16
31,601,6,43311.29,2026-07-04 11:29:13
32,276,6,40405.91,2025-09-21 13:00:09
33,372,2,31308.9,2026-04-06 10:08:59
34,490,5,12751.56,2025-10-26 23:32:26
35,118,6,39898.47,2025-10-24 03:59:57
36,106,2,15247.06,2025-12-13 19:56:07
37,480,4,49111.52,2025-08-18 03:15:34
38,164,2,8385.52,2026-04-02 03:47:33
39,760,2,45764.63,2026-01-30 02:27:40
40,431,4,48051.73,2026-03-24 11:38:20
41,160,3,45625.45,2026-06-22 13:58:14
42,779,6,45620.97,2026-02-23 12:44:43
43,471,4,20393.95,2025-08-25 01:01:53
44,51,6,28392.85,2025-09-23 15:23:38
45,377,3,45967.77,2025-12-31 02:50:34
46,610,3,1085.03,2025-09-06 10:31:30
47,748,6,47103.54,2026-06-02 16:16:32
48,371,3,19377.19,2026-03-28 03:33:01
49,541,6,25425.41,2026-03-26 05:46:25
50,393,6,33481.34,2026-04-06 12:01:47
51,553,3,45599.5,2026-03-19 16:49:53
52,241,5,3942.54,2026-05-10 07:21:49
53,26,2,44178.92,2025-12-13 18:34:02
54,212,6,4820.24,2026-06-21 05:45:58
55,112,3,11211.04,2026-05-25 10:45:55
56,481,1,8654.38,2026-01-10 04:54:50
57,703,2,18998.81,2026-04-03 16:21:15
58,375,3,17605.76,2025-11-07 08:52:04
59,430,3,10305.32,2025-08-09 08:19:24
60,338,6,9383.5,2026-03-03 23:16:36
61,356,5,23002.68,2026-03-31 17:20:10
62,520,4,14299.55,2026-05-05 03:33:20
63,248,3,25256.09,2025-10-03 01:46:15
64,36,3,38984.76,2025-11-13 02:41:07
65,701,1,8061.47,2025-08-26 01:10:55
66,541,3,1627.03,2025-08-28 22:44:42
67,232,2,16421.76,2026-04-17 19:46:55
68,168,2,11344.0,2026-03-22 21:11:38
69,737,4,45798.17,2025-10-06 12:27:01
70,396,1,5189.0,2026-02-27 03:31:06
71,439,3,13693.84,2025-10-07 08:33:06
72,74,6,43402.48,2026-02-05 20:49:30
73,738,4,33887.33,2026-05-24 03:43:45
74,665,1,27211.18,2026-03-31 00:37:33
75,349,1,29611.38,2025-08-10 17:42:50
76,755,5,8588.18,2026-01-12 06:01:11
77,325,1,46772.99,2025-10-28 20:26:41
78,443,3,30996.17,2025-10-28 22:05:07
79,11,4,1094.35,2025-10-09 23:47:44
80,72,1,198.59,2025-12-24 05:26:16
81,455,1,24520.48,2025-08-10 12:23:48
82,452,4,22529.98,2026-02-04 21:20:56
83,500,2,30720.75,2026-06-03 16:23:05
84,169,1,37784.49,2025-12-26 10:00:56
85,83,3,41060.38,2026-06-17 05:46:45
86,9,3,45370.49,2025-12-07 07:09:47
87,596,2,2257.7,2025-10-01 11:29:46
88,719,6,21337.09,2025-08-03 06:25:09
89,746,2,10686.72,2026-04-30 21:51:17
90,367,1,3817.19,2026-06-20 08:48:34
91,223,3,48157.72,2026-05-26 11:40:15
92,287,6,33721.6,2025-09-14 03:00:19
93,743,1,10094.26,2026-03-20 09:03:23
94,137,1,4617.85,2026-01-20 12:19:07
95,5,2,5760.25,2025-11-13 10:28:13
96,363,3,41299.61,2025-07-23 14:06:18
97,623,2,37363.29,2026-04-25 21:13:33
98,158,1,13721.64,2025-12-01 01:00:45
99,274,4,34057.95,2026-01-16 13:32:01
100,340,2,16608.38,2026-01-21 19:56:39
101,310,4,13569.78,2025-10-05 02:13:42
102,175,1,25310.87,2026-06-04 01:16:25
103,777,6,43170.23,2026-05-28 02:08:29
104,361,3,8875.06,2025-11-28 15:51:12
105,510,5,19292.74,2025-08-15 13:41:58
106,388,2,27152.46,2025-08-13 14:30:09
107,702,1,30708.87,2026-06-14 19:20:26
108,144,6,31030.89,2026-04-07 22:51:12
109,708,3,33468.09,2026-01-25 06:09:36
110,114,1,45827.37,2025-12-05 10:05:37
111,490,4,45221.45,2026-07-07 15:31:42
112,792,6,44379.75,2026-07-08 21:07:04
113,759,4,17137.41,2025-07-28 19:14:11
114,787,3,21877.2,2026-01-22 10:55:06
115,671,2,41102.54,2026-05-16 01:09:49
116,674,3,5135.07,2026-03-01 23:26:13
117,446,3,39687.07,2026-02-02 14:15:40
118,353,3,11436.03,2026-04-05 16:31:51
119,734,3,45688.92,2026-03-28 13:19:00
120,292,3,41352.57,2026-01-02 03:11:39
121,465,5,14701.32,2026-05-07 20:20:45
122,200,2,6023.38,2026-02-18 07:08:32
123,722,2,8496.86,2025-09-18 17:28:58
124,112,4,21661.75,2026-06-13 14:01:26
125,105,2,41109.97,2025-10-07 03:28:10
126,545,5,25559.65,2025-10-17 20:00:21
127,493,1,24292.23,2025-11-23 13:55:10
128,310,1,31229.58,2025-10-18 18:29:12
129,723,6,15974.19,2025-09-29 14:39:55
130,562,5,4604.43,2026-07-01 18:01:44
131,617,1,18340.5,2025-08-20 09:18:28
132,373,4,17983.55,2026-01-31 22:38:15
133,25,2,12232.23,2025-12-16 20:42:25
134,569,5,22115.86,2026-05-18 09:06:26
135,363,6,42698.68,2026-03-20 22:37:14
136,552,1,38315.36,2026-02-26 01:05:28
137,25,2,4451.3,2026-01-16 03:57:44
138,468,4,31528.67,2025-11-22 17:00:48
139,724,2,2306.73,2026-06-28 09:30:29
140,669,4,4545.62,2026-04-13 18:56:35
141,648,5,7416.81,2026-01-08 14:58:58
142,513,3,48584.62,2026-03-22 01:33:32
143,47,4,8876.99,2025-07-21 05:55:48
144,388,5,23850.43,2025-07-11 15:18:15
145,592,6,7165.49,2025-12-31 21:27:26
146,768,5,30121.23,2025-08-10 16:48:06
147,521,2,5449.27,2025-10-06 19:40:17
148,716,3,32235.37,2025-12-21 08:42:54
149,522,3,21785.0,2026-06-07 09:57:59
150,536,5,12316.61,2025-07-12 08:14:01
151,664,1,25289.98,2026-01-21 19:13:50
152,149,6,8557.55,2025-10-18 05:30:19
153,126,4,38522.69,2025-12-21 10:25:03
154,40,5,4220.54,2025-09-05 02:04:50
155,725,6,28291.64,2025-11-29 23:12:54
156,74,2,36424.41,2026-03-23 19:37:48
157,132,6,38183.09,2025-11-14 23:19:50
158,81,1,29052.75,2026-06-15 23:36:21
159,755,6,1498.66,2026-01-19 13:45:59
160,174,2,45134.14,2025-11-03 19:54:05
161,756,5,16138.05,2026-04-06 10:05:20
162,334,4,42932.87,2025-10-06 21:49:43
163,45,5,47646.02,2026-04-28 02:21:44
164,435,5,9114.05,2026-01-03 13:57:09
165,622,3,15068.56,2025-09-09 12:28:34
166,470,4,48738.06,2026-04-29 23:01:52
167,613,6,20053.37,2026-03-16 03:46:54
168,92,1,49219.98,2025-07-20 07:44:05
169,425,5,17652.17,2025-08-31 15:30:52
170,538,5,13675.98,2025-07-21 08:01:49
171,350,5,12812.75,2025-07-21 18:46:56
172,142,2,49963.56,2026-07-07 01:50:16
173,73,5,28563.43,2025-07-16 19:59:44
174,532,1,20985.22,2026-05-27 14:44:05
175,165,2,24545.22,2026-04-17 20:38:23
176,619,6,37617.04,2026-03-14 16:58:16
177,391,6,19678.48,2025-09-27 21:59:35
178,371,2,14562.04,2026-01-28 00:44:35
179,753,4,3945.73,2026-04-23 03:42:46
180,131,4,2153.16,2025-11-11 19:33:42
181,21,1,24766.66,2025-09-15 11:29:24
182,531,2,12686.6,2025-10-23 03:08:41
183,204,1,28335.55,2026-01-15 22:08:13
184,4,3,45486.86,2026-07-05 13:32:41
185,698,3,10836.39,2026-02-26 11:57:40
186,786,1,31933.65,2025-11-07 03:50:29
187,381,3,48465.19,2026-02-26 15:05:40
188,655,5,29149.64,2026-06-08 02:32:15
189,355,2,44595.19,2025-10-18 17:23:25
190,435,6,23259.22,2025-07-14 00:10:51
191,720,6,15620.63,2025-09-12 13:28:46
192,301,5,7859.87,2025-12-11 23:30:29
193,375,2,2276.75,2025-12-22 02:21:06
194,532,3,10533.78,2025-11-14 23:57:09
195,249,4,19783.94,2025-12-01 12:32:24
196,272,4,12722.35,2026-06-03 09:48:21
197,621,2,16622.01,2026-06-10 18:33:14
198,155,4,31662.67,2025-09-29 04:18:53
